baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFA_00252	112.944849266148	-1.62098437714311	0.211185518468973	-7.67564172436977	1.64592564687836e-14	1.62386684954906e-13
EFA_00253	4.11199898201593	0.551655896567194	0.863577461608473	0.638803027049475	0.522951078818508	0.66024298473524
EFA_00254	14.3874165693998	0.347259651375994	0.455679495062045	0.762069952980243	0.446018254834431	0.591736788183758
EFA_00255	187.022198396842	1.20357800469083	0.177630653206085	6.77573370906005	1.23776477018359e-11	9.76269960218982e-11
EFA_00256	136.957628483449	-0.219323070970856	0.192947852785465	-1.13669609588616	0.255665351981257	0.385088415130107
EFA_00257	27.8294102711883	-1.91619748872032	0.398642733442484	-4.80680400762099	1.53362204122686e-06	7.20626657997105e-06
EFA_00258	104.135636349877	-1.65086500547134	0.235583799687853	-7.00754893867374	2.42529200198398e-12	2.01877321324905e-11
EFA_00259	67.1952493898095	-0.699388221000992	0.242360851491088	-2.88573099449896	0.00390505776661628	0.010210765799595
EFA_00260	6.8664703204643	-0.0734375934891788	0.690390636930959	-0.106371073941031	0.915287942496738	0.95175359757629
EFA_00261	17.626538384948	-0.0766504734823079	0.444549795454766	-0.172422694298837	0.863105231885781	0.91641091743494
EFA_00262	1.42047983192226	-0.32942903806704	1.40945264488239	-0.233728347854162	0.815195878811484	0.880439142580295
EFA_00263	10.4151772120088	0.607306778217023	0.540114283914769	1.12440421648404	0.260841584111745	0.3905873264664
EFA_00264	104.73765696431	-0.110102818412314	0.197601770138417	-0.557195506574603	0.577393859455247	0.701662617555415
EFA_00265	33.7123997911565	-0.686427899523487	0.327404882936105	-2.09657196730767	0.0360314829763159	0.0734704457563942
EFA_00266	8.79297233236103	-0.458603017185581	0.610505239173224	-0.751186046833347	0.452540696340417	0.597903515505448
EFA_00267	24.7022673582659	-0.978472543168655	0.376235247297828	-2.60069344963337	0.00930355481102802	0.0223579634290755
EFA_00268	204.641896720862	-0.617196428719707	0.165754594517168	-3.72355547981978	0.000196436669094653	0.000684429219624694
EFA_00269	103.177717054428	-1.24250981211448	0.210375996970268	-5.90613867555474	3.50219200629726e-09	2.20984467034713e-08
