baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFA_00200	3.50904658735386	1.83701354757575	0.975905430876386	1.88236840318234	0.0597860128913595	0.114889988628576
EFA_00201	47.2476772283869	2.94227831851259	0.342906993676079	8.58039752111897	9.45458291769956e-18	1.18017858942241e-16
EFA_00202	1904.29467545435	6.13659958457202	0.178082958648451	34.4592185077412	3.27672945439227e-260	3.1358300878534e-257
EFA_00203	690.649389533678	2.31023465883622	0.14424711133286	16.015812292457	9.91039880050745e-58	5.80668468495038e-56
EFA_00204	2586.7146749459	6.79783112240614	0.188457588042803	36.0708804193238	6.49154155712362e-285	9.31860790525096e-282
EFA_00205	24.1810698723389	2.07189015891738	0.395077505404633	5.24426253222233	1.56908648603763e-07	8.25063608317591e-07
EFA_00206	8.42513273329785	-0.122799581344932	0.589873583447383	-0.208179489285243	0.835088822929752	0.894938413822813
EFA_00207	4.52831288810346	0.415264182686048	0.794735200395117	0.522518925145876	0.601309073153048	0.720216249070672
EFA_00208	36.4206442669843	2.50456784548643	0.34192205427804	7.32496723785415	2.38957084782653e-13	2.15061376304388e-12
EFA_00209	49.0747707096169	-0.386298950434104	0.268573810919303	-1.43833439720663	0.150339196646623	0.24622009901452
EFA_00210	452.075541346947	0.312208340720324	0.136257681794104	2.29130817880855	0.0219455959089089	0.0476955381184539
EFA_00211	71.0220104495378	-0.984687352886391	0.239369958414719	-4.1136630486453	3.89429752159358e-05	0.000151088218709394
EFA_00212	66.8700211947955	0.984469636841333	0.253721209208248	3.8801235415574	0.000104403421859124	0.000383302076927808
EFA_00213	75.2387519084376	0.0582547957504364	0.224635302525786	0.259330546425352	0.795380212722139	0.86727557566474
EFA_00214	29.0546437817631	0.558220661721807	0.338287861954869	1.65013506099808	0.0989153151396058	0.175922413507905
EFA_00215	152.886935725536	0.940556625285976	0.185540594459537	5.06927676946241	3.9933018777592e-07	2.00784057636544e-06
EFA_00216	89.2523502440784	-0.430575730922401	0.216283425943893	-1.9907939271967	0.0465035472836525	0.0918869127676299
EFA_00217	74.352195514855	-0.4082110876187	0.235999302761925	-1.72971310864635	0.0836815454632638	0.152539502873035
EFA_00218	183.485851720146	-0.614822444287933	0.186520017861327	-3.29628128571722	0.000979738670655278	0.00298919205467726
EFA_00219	52.3881933377082	-0.128550995864276	0.280961223607048	-0.457539991511665	0.64728296448256	0.760994836621388
EFA_00220	78.0471220418711	-1.65227521837676	0.240655680197134	-6.86572291592411	6.61553712610683e-12	5.33517053063279e-11
EFA_00221	29.2260609453144	-2.89635463571368	0.443587850624323	-6.52938224443533	6.60415099567269e-11	4.87416902534095e-10
EFA_00223	17.2561437184049	2.15602231361727	0.467746068448926	4.60938628680893	4.03859349572177e-06	1.80886145494808e-05
EFA_00224	36.94026868145	1.79156229943798	0.332622752300233	5.3861688265416	7.19753604045169e-08	3.96624298889382e-07
EFA_00225	25.0259847461568	-0.4530198845276	0.367055861498447	-1.23419874751003	0.217128854043063	0.335509655520793
EFA_00226	10.2220923421181	0.35475681821879	0.553554640798427	0.640870461689386	0.521606848565322	0.659666632769273
EFA_00227	5.72944859760523	1.2039463258833	0.756330115854241	1.59182650623862	0.111423692648759	0.193759795030034
EFA_00228	297.175575397189	0.0407037919218257	0.160421608239007	0.253730107612327	0.799704072525239	0.870997872617588
EFA_00229	80.7350793685418	-0.665399712340605	0.221435997286203	-3.00493018522451	0.00265641815498427	0.00724271274735027
EFA_00230	11.3388654629353	0.161112147901016	0.508676441752852	0.31672814912725	0.751449887701485	0.836855169740483
EFA_00231	0.132380170717851	-0.286027736183202	4.0804728567969	-0.0700967133519247	0.944116682634834	NA
EFA_00232	64.1825341180315	0.472505369204223	0.249867513478248	1.89102361738336	0.0586211916243751	0.113029846308651
EFA_00233	6.67610891641287	1.43083047382848	0.719656092704107	1.98821421555973	0.046788003443327	0.0923853905679449
EFA_00234	20.6512052622557	0.687443810730609	0.390669814918796	1.75965427703571	0.078466442681081	0.144593810614495
EFA_00235	352.738999250651	-0.0654036714611227	0.149569287287863	-0.437280090365383	0.66190823244979	0.77343855733144
EFA_00236	148.419085954982	0.0788459594462322	0.19530942618295	0.403697665735682	0.686435056331071	0.792422616295338
EFA_00237	207.289188105491	-1.41096506322968	0.171344344965438	-8.23467540474878	1.80045135614312e-16	2.0512285093202e-15
EFA_00238	62.060582452441	-1.18222570432178	0.254011759716498	-4.6542164254177	3.25215072225672e-06	1.4891426991386e-05
EFA_00239	7.81883528781381	-0.287459637399509	0.624556501299911	-0.460262020811903	0.645328158385717	0.75962982481566
EFA_00240	62.8301873331775	-2.2926096044684	0.291121991061435	-7.87508218156076	3.40518959377258e-15	3.54213743613083e-14
EFA_00241	5.62032491396639	-0.502864820337117	0.731778929509099	-0.687181333130834	0.491968466009305	0.63242053970538
EFA_00242	17.2826208780215	-0.708797443798899	0.432225230175244	-1.63987984577282	0.101030152139902	0.179047880736826
EFA_00243	11.3400455553744	0.671908283296582	0.518179860833361	1.29667000607856	0.194744753730254	0.306875776146285
EFA_00244	193.048376126155	-2.84061285053789	0.224584214275162	-12.6483192939712	1.14293690681916e-36	3.24888302918595e-35
EFA_00245	559.992675566659	-2.79128111155005	0.167780309251069	-16.6365238209994	3.78990325448249e-62	2.53042145200447e-60
EFA_00246	148.894259178095	-1.9856615626436	0.2093722877241	-9.483879572736	2.45000857428177e-21	3.53466061143867e-20
EFA_00247	327.795727032321	-2.69550250730311	0.189419365395758	-14.2303428251453	5.93899117961807e-46	2.43583481095478e-44
EFA_00248	35.4623844603064	-0.0435839873561477	0.316337688928482	-0.137776777417127	0.89041683824057	0.936113649391613
EFA_00249	48.4930533996355	0.0818027884155249	0.290739161814876	0.281361437189571	0.778433192526304	0.855962761697684
EFA_00250	411.455171480318	0.0554270809347899	0.160524766465299	0.345286787548584	0.729878778597201	0.821546783649009
EFA_00251	61.1228885993381	0.805776518440061	0.243694942556348	3.3064966797731	0.000944704700582815	0.0028976999950569
